ID,Číslo místnosti,Název místnosti,Další informace k místnosti,Zobrazit číslo místnosti,Zobrazit název místnosti,Posun textu vodorovně,Posun textu svisle,Velikost fontu,Navigace
room-m2-04,M2.04,6.B,,ano,ano,-1,,,nav-v0-z0 nav-z0-m0 nav-m0-m1 nav-m1-m2 nav-m2-04
room-m2-05,M2.05,J2,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-m1 nav-m1-m2 nav-m2-05
room-m2-06,M2.06,2.A,,ano,ano,1,,,nav-v0-z0 nav-z0-m0 nav-m0-m1 nav-m1-m2 nav-m2-06
room-m2-06a,M2.06a,Kabinet,Adamová,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-m1 nav-m1-m2 nav-m2-06a
room-m2-07,M2.07,WC ženy,,ano,ano,1.1,,0.75,nav-v0-z0 nav-z0-m0 nav-m0-m1 nav-m1-m2 nav-m2-07
room-m2-08,M2.08,Úklidová komora,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-m1 nav-m1-m2 nav-m2-08
room-m2-09,M2.09,WC muži,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-m1 nav-m1-m2 nav-m2-09
room-m2-09b,M2.09b,Technické prostory,,ne,ne,,,,nav-v0-z0 nav-z0-m0 nav-m0-m1 nav-m1-m2 nav-m2-09
room-t0-01,T0.01,Vstupní hala,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-01
room-t0-02,T0.02,Kabinet,Synovcová,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-02
room-t0-03,T0.03,WC muži,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-03
room-t0-04,T0.04,WC ženy,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-04
room-t0-04a,T0.04a,Úklidová komora,,ne,ne,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-04
room-t0-05a,T0.05a,Šatna,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-05a
room-t0-05b,T0.05b,Šatna,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-05b
room-t0-05c,T0.05c,Sprchy,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-05a
room-t0-06a,T0.06a,Šatna,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-06a
room-t0-06b,T0.06b,Šatna,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-06b
room-t0-06c,T0.06c,Sprchy,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-06a
room-t0-07,T0.07,Tělocvična velká,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-07
room-t0-07a,T0.07a,Sklad náčiní,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-07
room-t0-08,T0.08,Sklad náčiní,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-08
room-t0-09,T0.09,Kabinet,Reumann,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-09
room-t0-10,T0.10,Tělocvična malá,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-10
room-t0-10a,T0.10a,Sklad náčiní,,ano,ano,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-10
room-t0-11,T0.11,Tajná místnost I,,ano,ne,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-11
room-t0-12,T0.12,Tajná místnost II,,ano,ne,,,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-12
room-t0-13,T0.13,Tajná místnost III,,ano,ne,,0.1,,nav-v0-z0 nav-z0-m0 nav-m0-t0 nav-t0-13
